DATE;ASSETS;PORTFOLIO;ACTUAL PRICE (€);AVG. ANNUAL VOLATILITY (LAST. 5 YEARS);AVG. BUY PRICE;HOLDINGS BUYED;ACTUAL HOLDINGS;TOTAL INVEST MONEY;ACTUAL MONEY;PROFIT/LOSS;PROFIT/LOSS (%);% OF THE PORTOLIO;% OF THE TOTAL;Portfolio Risk Contribution (to the square)
10/04/2026;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1200;1200;1.200,00 €;1.200,00 €;0,00 €;0,00%;0,64%;0,21%;0,00%
10/04/2026;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;1269,17;1269,17;1.269,17 €;1.269,17 €;0,00 €;0,00%;0,68%;0,22%;0,00%
10/04/2026;REVOLUT;CASH;1,00 €;0%;1,00 €;5477,81;5477,81;5.477,81 €;5.477,81 €;0,00 €;0,00%;2,92%;0,97%;0,00%
10/04/2026;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;55,51;55,51;55,51 €;55,51 €;0,00 €;0,00%;0,03%;0,01%;0,00%
10/04/2026;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
10/04/2026;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;110,46 €;14%;71,51 €;18;18;1.287,18 €;1.988,28 €;701,10 €;54,47%;7,23%;0,35%;0,01%
10/04/2026;BITCOIN;CRYPTO;61.628,38 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.099,31 €;1.283,34 €;157,28%;3,39%;0,37%;0,02%
10/04/2026;CARDANO;CRYPTO;0,21 €;70%;1,14 €;200;211,2736383;228,16 €;42,90 €;-185,26 €;-81,20%;0,07%;0,01%;0,00%
10/04/2026;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;38,90 €;-88,70 €;-69,51%;0,06%;0,01%;0,00%
10/04/2026;POLYGON MATIC;CRYPTO;0,07 €;200%;1,04 €;3257,05;4592,091389;3.386,03 €;235,55 €;-3.150,48 €;-93,04%;0,38%;0,04%;0,01%
10/04/2026;FANTOM;CRYPTO;0,04 €;120%;1,00 €;1390;705,88;1.393,89 €;51,64 €;-1.342,25 €;-96,30%;0,08%;0,01%;0,00%
10/04/2026;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;36.668,48 €;44.003,60 €;7.335,12 €;20,00%;15,23%;7,77%;0,01%
31/07/2025;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1100;1100;1.100,00 €;1.100,00 €;0,00 €;0,00%;0,59%;0,19%;0,00%
31/07/2025;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;9702,32;9702,32;9.702,32 €;9.702,32 €;0,00 €;0,00%;5,17%;1,71%;0,00%
31/07/2025;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;38,91;38,91;38,91 €;38,91 €;0,00 €;0,00%;0,02%;0,01%;0,00%
31/07/2025;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
31/07/2025;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;106,51 €;14%;71,51 €;18;18;1.287,18 €;1.917,25 €;630,07 €;48,95%;6,97%;0,34%;0,01%
31/07/2025;BITCOIN;CRYPTO;103.623,22 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;3.529,82 €;2.713,85 €;332,59%;5,70%;0,62%;0,07%
31/07/2025;CARDANO;CRYPTO;0,69 €;70%;1,14 €;200;211,2736383;228,16 €;137,40 €;-90,76 €;-39,78%;0,22%;0,02%;0,00%
31/07/2025;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;88,60 €;-38,99 €;-30,56%;0,14%;0,02%;0,00%
31/07/2025;POLYGON MATIC;CRYPTO;0,19 €;200%;1,04 €;3257,05;4592,091389;3.386,03 €;631,54 €;-2.754,49 €;-81,35%;1,02%;0,11%;0,04%
31/07/2025;FANTOM;CRYPTO;0,30 €;120%;1,00 €;1390;705,88;1.393,89 €;423,53 €;-970,36 €;-69,62%;0,68%;0,07%;0,01%
31/07/2025;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;27.700,00 €;31.403,58 €;3.703,58 €;13,37%;10,87%;5,55%;0,01%
05/05/2025;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1100;1100;1.100,00 €;1.100,00 €;0,00 €;0,00%;0,59%;0,19%;0,00%
05/05/2025;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;8844,58;8844,58;8.844,58 €;8.844,58 €;0,00 €;0,00%;4,71%;1,56%;0,00%
05/05/2025;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;38,91;38,91;38,91 €;38,91 €;0,00 €;0,00%;0,02%;0,01%;0,00%
05/05/2025;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
05/05/2025;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;94,35 €;14%;71,51 €;18;18;1.287,18 €;1.698,30 €;411,12 €;31,94%;6,18%;0,30%;0,01%
05/05/2025;BITCOIN;CRYPTO;82.991,76 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.827,03 €;2.011,06 €;246,46%;4,56%;0,50%;0,04%
05/05/2025;CARDANO;CRYPTO;0,59 €;70%;1,14 €;200;211,2736383;228,16 €;118,32 €;-109,84 €;-48,14%;0,19%;0,02%;0,00%
05/05/2025;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;86,36 €;-41,23 €;-32,31%;0,14%;0,02%;0,00%
05/05/2025;POLYGON MATIC;CRYPTO;0,20 €;200%;1,04 €;3257,05;4592,091389;3.386,03 €;656,95 €;-2.729,08 €;-80,60%;1,06%;0,12%;0,04%
05/05/2025;FANTOM;CRYPTO;0,45 €;120%;1,00 €;1390;705,88;1.393,89 €;627,86 €;-766,03 €;-54,96%;1,01%;0,11%;0,01%
05/05/2025;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;23.000,00 €;25.049,47 €;2.049,47 €;8,91%;8,67%;4,42%;0,00%
12/02/2025;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1000;1000;1.000,00 €;1.000,00 €;0,00 €;0,00%;0,53%;0,18%;0,00%
12/02/2025;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;8139,52;8139,52;8.139,52 €;8.139,52 €;0,00 €;0,00%;4,34%;1,44%;0,00%
12/02/2025;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;26,35;26,35;26,35 €;26,35 €;0,00 €;0,00%;0,01%;0,00%;0,00%
12/02/2025;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
